# DOWNLOADS FOR EACH RELEASE:
v1.0.4-expert.crew.members | downloads: 9
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 147
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 115
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 158
# TOTAL DOWNLOADS: 7227


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 262
automata.destruction.0percent 181
automata.in.human.space 152
better.starts 201
bunrodea.missions 238
captureable.person.ships 175
coalition.shopping 230
control.station 181
devil-run.unhidden 66
disable.person.ships 115
disable.spaceport.repeatables 170
expert.crew.members 245
free.worlds.5.years.later 147
galactic.capital.investment 280
gegno.pirates 243
hai.side.mission.unlocker 191
human.labels 155
jump.gates 191
kestrel.unlocks 145
kor.efret.shipyard 222
landing.images 163
landing.images.android 159
landing.images.highres 130
more.arfectas 222
more.boarding.missions 200
more.person.ships 211
navy.licenses 247
no.more.mereti.mines 143
outfits.weapon.slot 134
paint.your.ships 144
pirate.warlords 3
planet.map 123
planet.pluto 13
quarg.farm 228
real.fluff 93
show.reputation 194
snowfeather.robotics 187
space.fauna 178
too.many.asteroids 234
tribute.republic 133
unique.fix 44
uniques 161
